n_mut,mut_type,seed,genotypes_nnz,brick_graph_nnz,linarg_nnz,linarg_ratio,brick_graph_ratio
50,back,19,21102550,2474124,294644,71.62049795685641,8.529301684151644
50,back,20,20406147,2355753,290778,70.17775416296969,8.662260856719698
50,back,21,19645577,2194497,294413,66.72795358900592,8.952200435908548
50,back,22,21985989,2380028,294671,74.6119876065171,9.237701825356677
50,back,23,22353077,2327803,311557,71.74634818026878,9.602649794677642
50,back,24,21032706,2165751,295161,71.2584182869688,9.711507001497402
50,back,25,22744905,2521722,307550,73.95514550479596,9.019592564128798
50,back,26,21936473,2398927,303958,72.16942143322433,9.144285340904496
50,back,27,20644721,2281255,302576,68.22986952038497,9.049720877324104
50,back,28,20804096,2254059,299251,69.52055632228463,9.229614664034969
50,back,29,20531433,2277175,297697,68.96755089906851,9.016185844302699
50,back,30,20250849,2172468,299668,67.57761589492371,9.321586785167836
50,back,31,20019417,2119277,292026,68.55354317766226,9.446342785770808
50,back,32,20365393,2323701,295053,69.0228297966806,8.764205463611713
50,back,33,19796086,2019021,302645,65.4102529366089,9.804794501889777
50,back,34,19772652,2232987,294173,67.21436705612004,8.854799423373267
50,back,35,20138208,2239247,298593,67.44367081612764,8.993294620914977
50,back,36,20380585,2221286,297406,68.52782055506614,9.175128731734679
50,back,37,20597736,2099920,303304,67.91119141191676,9.808819383595566
50,back,38,19375962,2084625,294150,65.8710249872514,9.294699046591113
50,back,39,21870410,2393918,293029,74.63565039637714,9.135822530262105
50,back,40,21942947,2208886,306403,71.61466108360558,9.933942720448226
50,back,41,20633207,2442723,293004,70.41954034757205,8.44680588015915
50,back,42,19601229,2262779,293103,66.87488357335135,8.662458419492138
50,back,43,20708460,2355359,294999,70.19840745222865,8.792060997920062
50,back,44,19843444,2315194,294459,67.38949734937631,8.5709638155593
50,back,45,21501782,2409225,299448,71.8047273650183,8.924771243864729
50,back,46,20303984,2111700,299566,67.77799883831943,9.614994554150684
50,back,47,18231353,2073095,289875,62.893843898232,8.794267990613069
50,back,48,20697240,2244409,297000,69.68767676767676,9.221688203887972
50,back,49,21710799,2297562,301929,71.9069681945093,9.449494290034393
50,back,50,20985294,2056199,308793,67.95909881376845,10.205867233667558
50,back,51,20585013,2225306,295593,69.63971744933066,9.250419043493345
50,back,52,20728913,2353132,299418,69.23068419400303,8.8090736091303
50,back,53,19892866,2262683,299258,66.47396560827113,8.791715852375255
50,back,54,20738952,2359316,292010,71.02137598027466,8.790239204922104
50,back,55,22284774,2373432,309756,71.94299384031302,9.389261626202057
50,back,56,19262478,2146412,294008,65.51684988163588,8.97426868653362
50,back,57,19382781,2147072,295854,65.51468291792574,9.027541228240134
50,back,58,19785143,2046824,297234,66.56419857755169,9.666264906020254
50,back,59,20100329,2079446,302229,66.50695002795894,9.666194265203329
50,back,60,19088096,1961759,293200,65.10264665757163,9.730092228454158
50,back,61,21973229,2356577,303288,72.45004418242726,9.324214315933661
50,back,62,20787574,2250586,297381,69.90215918300093,9.236516178453078
50,back,63,20295074,2389371,292314,69.42901811066183,8.493898184919797
50,back,64,20376547,2190325,293986,69.31128353050825,9.30297878168765
50,back,65,20949309,2383253,303027,69.13347325485847,8.79021614574701
50,back,66,20078143,2165608,304548,65.92767970894572,9.271365362521749
50,back,67,20628899,2156962,301611,68.39571169486524,9.563867606383422
50,back,68,20911864,2269641,291606,71.71273567759236,9.213732039560442
50,back,69,19254554,2261668,292967,65.72260356968532,8.513430795324513
50,back,70,20341431,2334519,293431,69.32270618987087,8.713328527204105
50,back,71,20443138,2260174,303307,67.40081171881954,9.044939902857037
50,back,72,20849284,2327921,298042,69.95418095436213,8.956181932290658
50,back,73,20665225,2218870,299785,68.93348566472639,9.31340051467639
50,back,74,22047881,2276399,295534,74.60353461869023,9.685420262440811
50,back,75,19235905,2113300,297448,64.66980783195719,9.102306818719539
50,back,76,20656464,2235628,300646,68.70693107508498,9.239669569355904
50,back,77,20707214,2383302,294812,70.23870805801664,8.688455764313545
50,back,78,19786210,2333934,288247,68.64324693752233,8.477621903618525
50,back,79,23291749,2567111,300948,77.39459640868189,9.073136689453632
50,back,80,19135688,2088088,296408,64.55860840463146,9.164215301270827
50,back,81,21808712,2380513,298506,73.05954319176163,9.161349675469111
50,back,82,22039405,2331706,303628,72.5868661651758,9.452051416430717
50,back,83,19380486,2148815,297368,65.17340803314411,9.019150555073377
50,back,84,19634350,2116837,295737,66.39125303901777,9.27532445814203
50,back,85,19781114,2275059,288707,68.51622579293193,8.694769674105155
50,back,86,22251658,2426443,303187,73.39252012784189,9.170484532296864
50,back,87,20258857,2354883,299465,67.65016612959778,8.602914454773337
50,back,88,21361620,2209373,304558,70.13974349713355,9.668634494944946
50,back,89,19982541,2195188,302632,66.02917404636655,9.102883671011321
50,back,90,18446487,2272295,288400,63.961466712898755,8.117998323281087
50,back,91,21256542,2455233,294630,72.14656348640668,8.657647563388078
50,back,92,21166555,2289406,301620,70.17623168224918,9.245435278845255
